Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment
3,2025.09.22 09:34,Sell Close,16.69,0,3708.09,0.0,0.0,20028.0,tp 3708.07
5,2025.09.22 18:29,Sell Close,15.62,0,3731.83,0.0,0.0,24086.04,tp 3731.77
7,2025.09.23 11:33,Sell Close,17.32,0,3764.03,0.0,0.0,28889.76,tp 3763.99
9,2025.09.23 14:28,Buy Close,24.89,0,3787.8,0.0,0.0,-17348.33,sl 3787.78
11,2025.09.24 11:41,Sell Close,21.83,0,3769.17,0.0,0.0,-15586.62,sl 3769.18
13,2025.09.25 07:35,Buy Close,26.98,0,3739.64,0.0,0.0,-14002.62,sl 3739.64
15,2025.09.25 14:11,Buy Close,24.62,0,3745.33,0.0,0.0,25432.46,tp 3745.42
17,2025.09.26 13:40,Sell Close,20.52,0,3747.12,0.0,0.0,-15164.28,sl 3747.13
19,2025.09.26 17:08,Sell Close,15.76,0,3770.54,0.0,0.0,27406.64,tp 3770.45
21,2025.09.30 09:50,Sell Close,30.72,0,3861.91,0.0,0.0,-16742.4,sl 3862.03
23,2025.09.30 17:16,Sell Close,8.89,0,3847.83,0.0,0.0,29417.01,tp 3847.78
25,2025.10.01 09:18,Sell Close,22.82,0,3857.4,0.0,0.0,-17776.78,sl 3857.46
27,2025.10.01 15:15,Buy Close,36.46,0,3889.63,0.0,0.0,-16115.32,sl 3889.56
29,2025.10.02 08:25,Buy Close,25.72,0,3869.4,0.0,0.0,-14248.88,sl 3869.40
31,2025.10.03 10:23,Sell Close,18.75,0,3862.11,0.0,0.0,25687.5,tp 3862.09
33,2025.10.06 13:38,Buy Close,18.13,0,3944.96,0.0,0.0,-15392.37,sl 3944.96
35,2025.10.07 16:02,Sell Close,15.51,0,3980.98,0.0,0.0,27824.94,tp 3980.90
37,2025.10.09 15:54,Sell Close,20.39,0,4049.44,0.0,0.0,33439.6,tp 4049.36
39,2025.10.10 17:05,Buy Close,21.1,0,3971.57,0.0,0.0,40195.5,tp 3971.68
41,2025.10.13 17:52,Sell Close,17.21,0,4101.68,0.0,0.0,48015.9,tp 4101.66
43,2025.10.14 16:00,Sell Close,11.38,0,4102.41,0.0,0.0,-28905.2,sl 4102.51
45,2025.10.15 17:04,Buy Close,24.24,0,4204.3,0.0,0.0,-26179.2,sl 4204.19
47,2025.10.15 18:50,Sell Close,10.85,0,4182.76,0.0,0.0,-23370.9,sl 4182.83
49,2025.10.17 14:51,Buy Close,9.23,0,4301.38,0.0,0.0,41978.04,tp 4301.46
51,2025.10.20 17:20,Buy Close,9.66,0,4325.53,0.0,0.0,-25367.16,sl 4325.30
53,2025.10.21 10:33,Buy Close,17.69,0,4312.08,0.0,0.0,45480.99,tp 4312.23
55,2025.10.21 15:46,Buy Close,11.52,0,4207.31,0.0,0.0,54316.8,tp 4207.32
57,2025.10.22 11:09,Sell Close,12.47,0,4107.5,0.0,0.0,-32683.87,sl 4107.58
59,2025.10.27 16:03,Buy Close,5.99,0,4009.43,0.0,-137.76,58743.93,tp 4009.58
61,2025.10.28 14:49,Sell Close,18.18,0,3910.71,0.0,0.0,-35232.84,sl 3910.74
63,2025.10.29 20:25,Buy Close,21.61,0,3978.25,0.0,0.0,63576.62,tp 3978.37
65,2025.10.30 09:57,Sell Close,18.4,0,3956.48,0.0,0.0,-38051.2,sl 3956.50
67,2025.10.30 11:17,Sell Close,20.27,0,4010.77,0.0,0.0,68532.87,tp 4010.72
69,2025.10.31 18:15,Buy Close,24.34,0,3976.59,0.0,0.0,82658.64,tp 3976.81
71,2025.11.03 11:26,Sell Close,57.04,0,4010.12,0.0,0.0,-49852.96,sl 4010.21
73,2025.11.03 13:24,Buy Close,42.4,0,4004.85,0.0,0.0,-44689.6,sl 4004.77
75,2025.11.04 09:20,Buy Close,33.74,0,3995.24,0.0,0.0,-40049.38,sl 3995.19
77,2025.11.06 08:55,Sell Close,31.2,0,3992.36,0.0,-1179.36,72446.4,tp 3992.14
79,2025.11.06 13:38,Buy Close,73.26,0,4015.21,0.0,0.0,-43003.62,sl 4015.21
81,2025.11.06 17:37,Buy Close,30.76,0,3978.23,0.0,0.0,77607.48,tp 3978.30
83,2025.11.07 16:31,Sell Close,45.02,0,3991.48,0.0,0.0,-47271.0,sl 3991.66
85,2025.11.10 13:39,Buy Close,56.4,0,4083.54,0.0,0.0,-41905.2,sl 4083.51
87,2025.11.11 10:15,Buy Close,34.07,0,4137.94,0.0,0.0,-37613.28,sl 4137.92
89,2025.11.11 14:20,Sell Close,45.84,0,4136.86,0.0,0.0,-34013.28,sl 4136.91
91,2025.11.13 09:26,Buy Close,29.07,0,4217.75,0.0,0.0,-30494.43,sl 4217.71
93,2025.11.13 12:58,Sell Close,18.77,0,4224.98,0.0,0.0,-27554.36,sl 4225.10
95,2025.11.17 18:08,Sell Close,14.11,0,4054.46,0.0,0.0,-24621.95,sl 4054.49
97,2025.11.20 10:12,Buy Close,18.28,0,4044.11,0.0,0.0,44402.12,tp 4044.20
99,2025.11.20 13:44,Buy Close,26.35,0,4068.17,0.0,0.0,-26587.15,sl 4068.16
